IsCanceled,LeadTime,Meal,Country,MarketSegment,DistributionChannel,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,CustomerType,RequiredCarParkingSpaces
0,0,BB       ,PRT,Offline TA/TO,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
0,0,BB       ,CN,Direct,Direct,E               ,E               ,0,No Deposit     ,Transient,1
0,23,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,1,BB       ,FRA,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,14,Undefined,ESP,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,14,Undefined,ESP,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,236,BB       ,GBR,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,26,BB       ,PRT,Offline TA/TO,TA/TO,C               ,C               ,0,No Deposit     ,Transient,0
0,87,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,28,BB       ,LUX,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,155,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Contract,0
0,12,BB       ,IRL,Direct,Direct,A               ,G               ,0,No Deposit     ,Transient,0
1,48,HB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,137,BB       ,PRT,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,169,BB       ,IRL,Offline TA/TO,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,1,BB       ,ITA,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,181,HB       ,ESP,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,222,HB       ,FRA,Groups,TA/TO,A               ,H               ,0,No Deposit     ,Transient-Party,0
1,224,HB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,130,HB       ,CHE,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,1
0,52,BB       ,BRA,Online TA,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
0,143,BB       ,CHN,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,211,HB       ,DEU,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,58,BB       ,AUT,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient-Party,0
1,200,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,79,BB       ,USA,Direct,Direct,F               ,F               ,0,No Deposit     ,Transient,1
0,45,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,74,HB       ,PRT,Direct,Direct,E               ,E               ,0,No Deposit     ,Transient,2
0,136,Undefined,ESP,Offline TA/TO,TA/TO,A               ,A               ,1,No Deposit     ,Transient-Party,0
1,304,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
1,350,BB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,172,HB       ,IRL,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,59,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
0,2,HB       ,FRA,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,28,BB       ,ESP,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,1
1,65,HB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,87,BB       ,PRT,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,108,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,101,BB       ,DEU,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,0,BB       ,BRA,Direct,Direct,C               ,C               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Direct,Direct,E               ,E               ,0,No Deposit     ,Transient,0
1,72,HB       ,PRT,Groups,Direct,D               ,D               ,0,No Deposit     ,Transient-Party,0
1,279,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,39,BB       ,ESP,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,55,BB       ,GBR,Complementary,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,24,BB       ,ESP,Online TA,TA/TO,A               ,B               ,1,No Deposit     ,Transient,0
0,42,BB       ,PRT,Direct,Direct,E               ,F               ,0,No Deposit     ,Transient,1
1,76,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,7,BB       ,CHL,Direct,Direct,G               ,G               ,0,No Deposit     ,Transient,1
1,119,BB       ,CHE,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,41,BB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,179,HB       ,DEU,Direct,Direct,G               ,G               ,1,No Deposit     ,Transient,0
0,287,BB       ,GBR,Groups,Corporate,A               ,E               ,1,No Deposit     ,Transient-Party,0
1,121,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,17,HB       ,CN,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,42,BB       ,GBR,Offline TA/TO,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
