IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate,Rand
0,363,2016,October,42,11,0,5,1,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,223,0,Transient-Party,60,0,0,Check-Out,2016-10-16,1203
0,5,2017,January,2,10,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,112,0,Transient,42,1,0,Check-Out,2017-01-11,1418
0,7,2016,October,41,5,0,4,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,405,0,Transient-Party,50,0,1,Check-Out,2016-10-09,1598
0,0,2016,March,12,15,0,1,1,0,0,BB       ,PRT,Direct,Corporate,1,1,11,A               ,A               ,0,No Deposit     ,47,       NULL,0,Transient,30,0,0,Check-Out,2016-03-16,2032
0,11,2016,October,42,9,1,0,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,405,0,Transient-Party,56,1,1,Check-Out,2016-10-10,2060
0,0,2017,March,13,27,1,2,2,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,337,       NULL,0,Transient,60,0,0,Check-Out,2017-03-30,2362
0,31,2015,October,41,6,0,5,3,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,2,No Deposit     ,       NULL,       NULL,0,Transient,80,0,0,Check-Out,2015-10-11,2391
0,2,2016,December,51,14,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,1,A               ,D               ,0,No Deposit     ,       NULL,331,0,Transient-Party,39,0,0,Check-Out,2016-12-15,2421
0,2,2017,January,3,18,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,C               ,0,No Deposit     ,       NULL,178,0,Transient,35,0,0,Check-Out,2017-01-20,3682
0,1,2017,March,10,7,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,511,0,Transient,45,0,0,Check-Out,2017-03-08,4584
