,0
0,201527
1,201527
2,201527
3,201527
4,201527
5,201527
6,201527
7,201527
8,201527
9,201527
10,201527
11,201527
12,201527
13,201527
14,201527
15,201527
16,201527
17,201527
18,201527
19,201527
20,201527
21,201527
22,201527
23,201527
24,201527
25,201527
26,201527
27,201527
28,201527
29,201527
30,201527
31,201527
32,201527
33,201527
34,201527
35,201527
36,201527
37,201527
38,201527
39,201527
40,201527
41,201527
42,201527
43,201527
44,201527
45,201527
46,201527
47,201527
48,201527
49,201527
50,201527
51,201527
52,201527
53,201527
54,201527
55,201527
56,201527
57,201527
58,201527
59,201527
60,201527
61,201527
62,201527
63,201527
64,201527
65,201527
66,201527
67,201527
68,201527
69,201527
70,201527
71,201527
72,201527
73,201527
74,201527
75,201527
76,201527
77,201527
78,201527
79,201527
80,201527
81,201527
82,201527
83,201527
84,201527
85,201527
86,201527
87,201527
88,201527
89,201527
90,201527
91,201527
92,201527
93,201527
94,201527
95,201527
96,201527
97,201527
98,201527
99,201527
100,201527
101,201527
102,201527
103,201527
104,201527
105,201527
106,201527
107,201527
108,201527
109,201527
110,201527
111,201527
112,201527
113,201527
114,201527
115,201527
116,201527
117,201527
118,201527
119,201527
120,201527
121,201527
122,201527
123,201527
124,201527
125,201527
126,201527
127,201527
128,201527
129,201527
130,201527
13842,201527
14002,201527
14047,201527
14210,201527
14345,201527
14463,201527
14644,201527
14815,201527
14864,201527
14870,201527
14871,201527
14874,201527
14912,201527
14952,201527
15041,201527
15269,201527
15286,201527
15297,201527
15298,201527
15299,201527
15300,201527
15302,201527
15304,201527
15332,201527
15333,201527
15334,201527
15335,201527
15349,201527
15350,201527
15351,201527
15353,201527
15356,201527
15357,201527
15366,201527
15375,201527
15377,201527
15379,201527
15384,201527
15389,201527
15390,201527
15398,201527
15407,201527
15410,201527
15422,201527
15425,201527
15459,201527
131,201528
132,201528
133,201528
134,201528
135,201528
136,201528
137,201528
138,201528
139,201528
140,201528
141,201528
142,201528
143,201528
144,201528
145,201528
146,201528
147,201528
148,201528
149,201528
150,201528
151,201528
152,201528
153,201528
154,201528
155,201528
156,201528
157,201528
158,201528
159,201528
160,201528
161,201528
162,201528
163,201528
164,201528
165,201528
166,201528
167,201528
168,201528
169,201528
170,201528
171,201528
172,201528
173,201528
174,201528
175,201528
176,201528
177,201528
178,201528
179,201528
180,201528
181,201528
182,201528
183,201528
184,201528
185,201528
186,201528
187,201528
188,201528
189,201528
190,201528
191,201528
192,201528
193,201528
194,201528
195,201528
196,201528
197,201528
198,201528
199,201528
200,201528
201,201528
202,201528
203,201528
204,201528
205,201528
206,201528
207,201528
208,201528
209,201528
210,201528
211,201528
212,201528
213,201528
214,201528
215,201528
216,201528
217,201528
218,201528
219,201528
220,201528
221,201528
222,201528
223,201528
224,201528
225,201528
226,201528
227,201528
228,201528
229,201528
230,201528
231,201528
232,201528
233,201528
234,201528
235,201528
236,201528
237,201528
238,201528
239,201528
240,201528
241,201528
242,201528
243,201528
244,201528
245,201528
246,201528
247,201528
248,201528
249,201528
250,201528
251,201528
252,201528
253,201528
254,201528
255,201528
256,201528
257,201528
258,201528
259,201528
260,201528
261,201528
262,201528
263,201528
264,201528
265,201528
266,201528
267,201528
268,201528
269,201528
270,201528
271,201528
272,201528
273,201528
274,201528
275,201528
276,201528
277,201528
278,201528
279,201528
280,201528
281,201528
282,201528
283,201528
284,201528
285,201528
286,201528
287,201528
288,201528
289,201528
290,201528
291,201528
292,201528
293,201528
294,201528
295,201528
296,201528
297,201528
298,201528
299,201528
300,201528
301,201528
302,201528
303,201528
304,201528
305,201528
306,201528
14092,201528
14570,201528
14591,201528
14594,201528
14595,201528
14596,201528
14660,201528
14825,201528
14865,201528
14867,201528
14869,201528
14873,201528
14875,201528
14880,201528
14899,201528
14959,201528
15077,201528
15090,201528
15118,201528
15134,201528
15135,201528
15136,201528
15148,201528
15149,201528
15226,201528
15268,201528
15303,201528
15306,201528
15336,201528
15352,201528
15354,201528
15355,201528
15358,201528
15361,201528
15367,201528
15368,201528
15369,201528
15370,201528
15371,201528
15372,201528
15373,201528
15374,201528
15376,201528
15378,201528
15380,201528
15381,201528
15382,201528
15383,201528
15385,201528
15386,201528
15387,201528
15388,201528
15391,201528
15392,201528
15393,201528
15394,201528
15395,201528
15396,201528
15397,201528
15404,201528
15405,201528
15406,201528
15408,201528
15409,201528
15411,201528
15416,201528
15417,201528
15418,201528
15419,201528
15420,201528
15421,201528
15426,201528
15427,201528
15430,201528
15431,201528
15432,201528
15433,201528
15434,201528
15435,201528
15436,201528
15437,201528
15440,201528
15441,201528
15443,201528
15447,201528
15451,201528
15454,201528
15456,201528
15457,201528
15460,201528
15470,201528
15479,201528
15482,201528
15493,201528
15520,201528
