Date,IsCanceled
2015-06-21,41
2015-06-28,48
2015-07-05,87
2015-07-12,74
2015-07-19,101
2015-07-26,68
2015-08-02,96
2015-08-09,69
2015-08-16,88
2015-08-23,148
2015-08-30,76
2015-09-06,186
2015-09-13,123
2015-09-20,91
2015-09-27,198
2015-10-04,16
2015-10-11,94
2015-10-18,44
2015-10-25,45
2015-11-01,54
2015-11-08,63
2015-11-15,18
2015-11-22,127
2015-11-29,24
2015-12-06,37
2015-12-13,79
2015-12-20,43
2015-12-27,35
2016-01-03,40
2016-01-10,14
2016-01-17,14
2016-01-24,15
2016-01-31,57
2016-02-07,176
2016-02-14,33
2016-02-21,133
2016-02-28,88
2016-03-06,48
2016-03-13,65
2016-03-20,118
2016-03-27,65
2016-04-03,80
2016-04-10,98
2016-04-17,116
2016-04-24,222
2016-05-01,79
2016-05-08,143
2016-05-15,141
2016-05-22,82
2016-05-29,99
2016-06-05,77
2016-06-12,110
2016-06-19,75
2016-06-26,80
2016-07-03,75
2016-07-10,119
2016-07-17,120
2016-07-24,98
2016-07-31,124
2016-08-07,149
2016-08-14,145
2016-08-21,118
2016-08-28,106
2016-09-04,121
2016-09-11,67
2016-09-18,129
2016-09-25,112
2016-10-02,118
2016-10-09,85
2016-10-16,182
2016-10-23,134
2016-10-30,111
2016-11-06,70
2016-11-13,39
2016-11-20,59
2016-11-27,74
2016-12-04,57
2016-12-11,36
2016-12-18,84
2016-12-25,95
2017-01-01,54
2017-01-08,42
2017-01-15,43
2017-01-22,51
2017-01-29,51
2017-02-05,91
2017-02-12,96
2017-02-19,128
2017-02-26,77
2017-03-05,126
2017-03-12,83
2017-03-19,49
2017-03-26,105
2017-04-02,109
2017-04-09,179
2017-04-16,104
2017-04-23,106
2017-04-30,167
2017-05-07,106
2017-05-14,79
2017-05-21,130
2017-05-28,202
2017-06-04,117
2017-06-11,152
2017-06-18,131
2017-06-25,161
2017-07-02,131
2017-07-09,139
2017-07-16,150
2017-07-23,157
2017-07-30,173
2017-08-06,140
2017-08-13,182
2017-08-20,143
2017-08-27,100
