,label,prediction,probability
0,0.0,0.0,"[0.8892592454094896,0.11074075459051036]"
1,0.0,0.0,"[0.8892592454094896,0.11074075459051036]"
2,0.0,0.0,"[0.8786221269914375,0.12137787300856251]"
3,0.0,0.0,"[0.8674424868548349,0.13255751314516506]"
4,0.0,0.0,"[0.8493305596389686,0.15066944036103136]"
5,0.0,0.0,"[0.8493305596389686,0.15066944036103136]"
6,0.0,0.0,"[0.8493305596389686,0.15066944036103136]"
7,0.0,0.0,"[0.8493305596389686,0.15066944036103136]"
8,0.0,0.0,"[0.878381623013513,0.12161837698648703]"
9,0.0,0.0,"[0.854771867993551,0.14522813200644902]"
10,0.0,0.0,"[0.854771867993551,0.14522813200644902]"
11,0.0,0.0,"[0.854771867993551,0.14522813200644902]"
12,0.0,0.0,"[0.8352574907557787,0.1647425092442213]"
13,0.0,0.0,"[0.878381623013513,0.12161837698648703]"
14,0.0,0.0,"[0.878381623013513,0.12161837698648703]"
15,0.0,0.0,"[0.854771867993551,0.14522813200644902]"
16,0.0,0.0,"[0.878381623013513,0.12161837698648703]"
17,0.0,0.0,"[0.878381623013513,0.12161837698648703]"
18,0.0,0.0,"[0.8352574907557787,0.1647425092442213]"
19,0.0,0.0,"[0.878381623013513,0.12161837698648703]"
20,0.0,0.0,"[0.854771867993551,0.14522813200644902]"
21,0.0,0.0,"[0.8352574907557787,0.1647425092442213]"
22,0.0,0.0,"[0.8352574907557787,0.1647425092442213]"
23,0.0,0.0,"[0.726584606895752,0.273415393104248]"
24,0.0,0.0,"[0.7555121488321875,0.24448785116781246]"
25,0.0,0.0,"[0.7053328867186095,0.2946671132813905]"
26,0.0,0.0,"[0.6841091472605997,0.3158908527394003]"
27,0.0,0.0,"[0.6510251205640024,0.3489748794359976]"
28,0.0,0.0,"[0.7265890368463366,0.2734109631536634]"
29,0.0,0.0,"[0.7265890368463366,0.2734109631536634]"
30,0.0,0.0,"[0.7265890368463366,0.2734109631536634]"
31,0.0,1.0,"[0.43929561257152633,0.5607043874284736]"
32,0.0,1.0,"[0.43929561257152633,0.5607043874284736]"
33,0.0,1.0,"[0.490162024479562,0.5098379755204381]"
34,0.0,1.0,"[0.490162024479562,0.5098379755204381]"
35,0.0,1.0,"[0.43929561257152633,0.5607043874284736]"
36,0.0,1.0,"[0.40294871897766854,0.5970512810223314]"
37,0.0,1.0,"[0.490162024479562,0.5098379755204381]"
38,0.0,1.0,"[0.490162024479562,0.5098379755204381]"
39,0.0,1.0,"[0.43929561257152633,0.5607043874284736]"
40,0.0,1.0,"[0.40294871897766854,0.5970512810223314]"
41,0.0,1.0,"[0.490162024479562,0.5098379755204381]"
42,0.0,1.0,"[0.490162024479562,0.5098379755204381]"
43,0.0,1.0,"[0.43929561257152633,0.5607043874284736]"
