,label,prediction,probability
0,0.0,0.0,"[0.542287126024609,0.45771287397539095]"
1,0.0,0.0,"[0.5421790655977176,0.4578209344022825]"
2,0.0,0.0,"[0.5421790567280935,0.4578209432719064]"
3,0.0,0.0,"[0.542179031304818,0.457820968695182]"
4,0.0,0.0,"[0.5420709619827976,0.45792903801720236]"
5,0.0,0.0,"[0.5420709448357186,0.4579290551642814]"
6,0.0,0.0,"[0.5420709304476828,0.4579290695523172]"
7,0.0,0.0,"[0.5414859581427609,0.45851404185723904]"
8,0.0,0.0,"[0.541377856902401,0.45862214309759897]"
9,0.0,0.0,"[0.5413778486233429,0.45862215137665696]"
10,0.0,0.0,"[0.5412697302816303,0.45873026971836967]"
11,0.0,0.0,"[0.5412697131299388,0.4587302868700613]"
12,0.0,0.0,"[0.5412697070173885,0.4587302929826114]"
13,0.0,0.0,"[0.5405764265012076,0.4594235734987925]"
14,0.0,0.0,"[0.5405763805552056,0.4594236194447943]"
15,0.0,0.0,"[0.5404682679613371,0.4595317320386629]"
16,0.0,0.0,"[0.5397747595379504,0.4602252404620496]"
17,0.0,0.0,"[0.5396666161812992,0.46033338381870076]"
18,0.0,0.0,"[0.5381709384551984,0.4618290615448016]"
19,0.0,0.0,"[0.5380626776014529,0.46193732239854707]"
20,0.0,0.0,"[0.5366745545331636,0.46332544546683635]"
21,0.0,0.0,"[0.5364579939428462,0.4635420060571538]"
22,0.0,0.0,"[0.5350691700427883,0.46493082995721163]"
23,0.0,0.0,"[0.5341578940315194,0.46584210596848064]"
24,0.0,0.0,"[0.5333547386010691,0.4666452613989309]"
25,0.0,0.0,"[0.5326598303901598,0.4673401696098401]"
26,0.0,0.0,"[0.5324430336617741,0.46755696633822585]"
27,0.0,0.0,"[0.5316395140407016,0.46836048595929836]"
28,0.0,0.0,"[0.530944216826692,0.46905578317330787]"
29,0.0,0.0,"[0.5285323218387556,0.47146767816124435]"
30,0.0,0.0,"[0.5285323079904181,0.471467692009582]"
31,0.0,0.0,"[0.5156489106039431,0.4843510893960569]"
32,0.0,0.0,"[0.5139278965391234,0.4860721034608766]"
33,0.0,0.0,"[0.509198317654593,0.490801682345407]"
34,0.0,0.0,"[0.5050561183568972,0.4949438816431028]"
35,0.0,1.0,"[0.49709690869022793,0.5029030913097721]"
36,0.0,1.0,"[0.49376096203284053,0.5062390379671594]"
37,0.0,1.0,"[0.49214767497479656,0.5078523250252034]"
38,0.0,1.0,"[0.48650248656271317,0.5134975134372869]"
39,0.0,1.0,"[0.4809693740416619,0.519030625958338]"
40,0.0,1.0,"[0.47935827789057084,0.5206417221094293]"
41,0.0,1.0,"[0.47844420469112514,0.521555795308875]"
42,0.0,1.0,"[0.4671824505259273,0.5328175494740727]"
43,0.0,1.0,"[0.4663791163549658,0.5336208836450341]"
44,0.0,1.0,"[0.45686274299630986,0.5431372570036902]"
45,0.0,1.0,"[0.4472700048265122,0.5527299951734879]"
46,0.0,1.0,"[0.4431767197747005,0.5568232802252996]"
47,0.0,1.0,"[0.4353349406915278,0.5646650593084722]"
48,0.0,1.0,"[0.4288924986998919,0.5711075013001081]"
49,0.0,1.0,"[0.4178625937560443,0.5821374062439557]"
50,0.0,1.0,"[0.41237759483784797,0.5876224051621521]"
51,0.0,1.0,"[0.40779850350901903,0.592201496490981]"
52,0.0,1.0,"[0.3960575548141188,0.6039424451858811]"
53,0.0,1.0,"[0.39318164966684804,0.606818350333152]"
54,0.0,1.0,"[0.3769292719144604,0.6230707280855395]"
55,0.0,1.0,"[0.3761715794540856,0.6238284205459145]"
56,0.0,1.0,"[0.3746581006162269,0.6253418993837732]"
57,0.0,1.0,"[0.3421220723865304,0.6578779276134696]"
58,0.0,1.0,"[0.31081975945781776,0.6891802405421823]"
59,0.0,0.0,"[0.8694671168171654,0.1305328831828347]"
60,0.0,0.0,"[0.8691004176051356,0.13089958239486438]"
61,0.0,0.0,"[0.8691003902359519,0.13089960976404819]"
62,0.0,0.0,"[0.867994999520979,0.13200500047902092]"
63,0.0,0.0,"[0.8350614418137865,0.16493855818621356]"
64,0.0,0.0,"[0.802507118770371,0.19749288122962905]"
65,0.0,0.0,"[0.5430880924001793,0.45691190759982075]"
66,0.0,0.0,"[0.5430880924001793,0.45691190759982075]"
67,0.0,0.0,"[0.543088089642099,0.456911910357901]"
68,0.0,0.0,"[0.5430880868840186,0.45691191311598145]"
69,0.0,0.0,"[0.5430880868840186,0.45691191311598145]"
70,0.0,0.0,"[0.543088083533325,0.45691191646667506]"
71,0.0,0.0,"[0.5430880807752445,0.45691191922475544]"
72,0.0,0.0,"[0.5430880780171642,0.4569119219828358]"
73,0.0,0.0,"[0.5430880780171642,0.4569119219828358]"
74,0.0,0.0,"[0.5430880669848426,0.4569119330151574]"
75,0.0,0.0,"[0.543088032702651,0.4569119672973489]"
76,0.0,0.0,"[0.5429800555974048,0.45701994440259525]"
77,0.0,0.0,"[0.5429800555974048,0.45701994440259525]"
78,0.0,0.0,"[0.5429800555974048,0.45701994440259525]"
79,0.0,0.0,"[0.542980052839221,0.457019947160779]"
80,0.0,0.0,"[0.5429800356974831,0.4570199643025168]"
81,0.0,0.0,"[0.542979990381272,0.457020009618728]"
82,0.0,0.0,"[0.5428719534763461,0.45712804652365385]"
83,0.0,0.0,"[0.5428719446088279,0.4571280553911721]"
84,0.0,0.0,"[0.542871927466449,0.45712807253355114]"
85,0.0,0.0,"[0.8706111164280161,0.12938888357198386]"
86,0.0,0.0,"[0.6976716008461327,0.30232839915386733]"
87,0.0,0.0,"[0.6976716008461327,0.30232839915386733]"
88,0.0,0.0,"[0.6976716008461327,0.30232839915386733]"
89,0.0,0.0,"[0.658151781746341,0.34184821825365896]"
90,0.0,0.0,"[0.6391307657678331,0.36086923423216677]"
91,0.0,0.0,"[0.6278918536196646,0.37210814638033546]"
92,0.0,0.0,"[0.609728275344859,0.39027172465514104]"
93,0.0,0.0,"[0.6097282726999692,0.39027172730003085]"
94,0.0,0.0,"[0.6097282260319633,0.39027177396803664]"
95,0.0,0.0,"[0.6089600230070799,0.39103997699292015]"
96,0.0,0.0,"[0.6089599715813041,0.3910400284186959]"
97,0.0,0.0,"[0.6058816394252989,0.39411836057470095]"
98,0.0,0.0,"[0.6058816282385929,0.394118371761407]"
99,0.0,0.0,"[0.6012483629513472,0.3987516370486528]"
100,0.0,0.0,"[0.5996998642800954,0.4003001357199047]"
101,0.0,0.0,"[0.5973733604095403,0.40262663959045975]"
102,0.0,0.0,"[0.8984173697123774,0.10158263028762253]"
103,0.0,0.0,"[0.8966364504124577,0.1033635495875423]"
104,0.0,0.0,"[0.6104959614698956,0.3895040385301044]"
105,0.0,0.0,"[0.6104959476869531,0.3895040523130469]"
106,0.0,0.0,"[0.6104959286179888,0.38950407138201104]"
107,0.0,0.0,"[0.6104959233319673,0.38950407666803266]"
