IsCanceled,LeadTime,MarketSegment,DistributionChannel,CustomerType,RequiredCarParkingSpaces
0,342,Direct,Direct,Transient,0
0,737,Direct,Direct,Transient,0
0,7,Direct,Direct,Transient,0
0,13,Corporate,Corporate,Transient,0
0,14,Online TA,TA/TO,Transient,0
0,14,Online TA,TA/TO,Transient,0
0,0,Direct,Direct,Transient,0
0,9,Direct,Direct,Transient,0
1,85,Online TA,TA/TO,Transient,0
1,75,Offline TA/TO,TA/TO,Transient,0
1,23,Online TA,TA/TO,Transient,0
0,35,Online TA,TA/TO,Transient,0
0,68,Online TA,TA/TO,Transient,0
0,18,Online TA,TA/TO,Transient,0
0,37,Online TA,TA/TO,Transient,0
0,68,Online TA,TA/TO,Transient,0
0,37,Offline TA/TO,TA/TO,Contract,0
0,12,Online TA,TA/TO,Transient,0
0,0,Corporate,Corporate,Transient,0
0,7,Direct,Direct,Transient,0
0,37,Online TA,TA/TO,Transient,0
0,72,Direct,Direct,Transient,0
0,72,Direct,Direct,Transient,0
0,72,Direct,Direct,Transient,0
0,127,Offline TA/TO,TA/TO,Contract,0
0,78,Offline TA/TO,TA/TO,Transient,1
0,48,Offline TA/TO,TA/TO,Contract,0
1,60,Online TA,TA/TO,Transient,0
0,77,Online TA,TA/TO,Transient,0
0,99,Online TA,TA/TO,Transient,1
0,118,Direct,Direct,Transient,0
0,95,Offline TA/TO,TA/TO,Transient,0
1,96,Direct,Direct,Transient,0
0,69,Offline TA/TO,TA/TO,Transient,0
1,45,Online TA,TA/TO,Transient,0
1,40,Online TA,TA/TO,Transient,0
0,15,Online TA,TA/TO,Transient,0
0,36,Online TA,TA/TO,Transient,0
1,43,Online TA,TA/TO,Transient,0
0,70,Direct,Direct,Transient,0
1,45,Online TA,TA/TO,Transient,0
0,45,Offline TA/TO,TA/TO,Contract,0
0,16,Direct,Direct,Transient,0
0,70,Direct,Direct,Transient,0
0,107,Online TA,TA/TO,Transient,0
1,47,Online TA,TA/TO,Transient,0
0,96,Offline TA/TO,TA/TO,Transient,0
0,113,Offline TA/TO,TA/TO,Transient-Party,0
0,90,Offline TA/TO,TA/TO,Contract,0
0,50,Online TA,TA/TO,Transient,0
0,113,Offline TA/TO,TA/TO,Transient-Party,0
0,93,Offline TA/TO,TA/TO,Contract,0
0,76,Offline TA/TO,TA/TO,Contract,0
0,3,Online TA,TA/TO,Transient,1
0,1,Online TA,TA/TO,Transient,1
0,1,Direct,Direct,Transient,1
0,0,Direct,Direct,Transient,0
0,0,Online TA,TA/TO,Transient,0
0,0,Direct,Direct,Transient,0
0,14,Online TA,TA/TO,Transient,0
0,10,Online TA,TA/TO,Transient,0
0,5,Online TA,TA/TO,Transient,1
0,17,Direct,Direct,Transient,0
0,93,Offline TA/TO,TA/TO,Contract,0
1,3,Online TA,TA/TO,Transient,0
0,10,Online TA,TA/TO,Transient,1
0,3,Online TA,TA/TO,Transient,0
0,51,Online TA,TA/TO,Transient,0
1,71,Offline TA/TO,TA/TO,Transient,0
1,63,Online TA,TA/TO,Transient,0
1,62,Online TA,TA/TO,Transient,0
1,101,Online TA,TA/TO,Transient,0
0,2,Offline TA/TO,TA/TO,Transient,0
0,15,Online TA,TA/TO,Transient,0
1,51,Online TA,TA/TO,Transient,0
0,3,Online TA,TA/TO,Transient,1
1,48,Online TA,TA/TO,Transient,0
0,2,Online TA,TA/TO,Transient,0
0,72,Offline TA/TO,TA/TO,Transient,1
0,81,Offline TA/TO,TA/TO,Transient,0
0,99,Offline TA/TO,TA/TO,Contract,0
1,368,Offline TA/TO,TA/TO,Contract,0
0,364,Offline TA/TO,TA/TO,Contract,0
1,81,Direct,Direct,Transient,0
0,99,Offline TA/TO,TA/TO,Contract,0
0,324,Offline TA/TO,TA/TO,Contract,0
0,69,Online TA,TA/TO,Transient,0
1,79,Offline TA/TO,TA/TO,Transient,0
0,12,Online TA,TA/TO,Transient,0
0,9,Online TA,TA/TO,Transient,1
0,1,Online TA,TA/TO,Transient,0
0,21,Online TA,TA/TO,Transient,0
0,9,Online TA,TA/TO,Transient,0
0,109,Online TA,TA/TO,Transient,0
1,109,Online TA,TA/TO,Transient,0
1,72,Online TA,TA/TO,Transient,0
1,63,Online TA,TA/TO,Transient,0
0,63,Offline TA/TO,TA/TO,Transient,0
0,101,Online TA,TA/TO,Transient,1
0,102,Direct,Direct,Transient,0
0,4,Direct,Direct,Transient,0
0,98,Offline TA/TO,TA/TO,Transient,1
0,92,Offline TA/TO,TA/TO,Transient,0
0,95,Online TA,TA/TO,Transient,1
0,102,Online TA,TA/TO,Transient,0
1,26,Online TA,TA/TO,Transient,0
1,73,Direct,Direct,Transient,0
1,102,Online TA,TA/TO,Transient,0
0,115,Offline TA/TO,TA/TO,Transient,0
0,102,Online TA,TA/TO,Transient,0
0,86,Online TA,TA/TO,Transient,0
0,78,Online TA,TA/TO,Transient,0
0,52,Online TA,TA/TO,Transient,0
0,29,Online TA,TA/TO,Transient,0
1,101,Online TA,TA/TO,Transient,0
0,109,Online TA,TA/TO,Transient,0
0,92,Offline TA/TO,TA/TO,Contract,0
0,92,Offline TA/TO,TA/TO,Contract,0
0,79,Direct,Direct,Transient,0
0,2,Online TA,TA/TO,Transient,1
0,30,Offline TA/TO,TA/TO,Contract,0
1,51,Online TA,TA/TO,Transient,0
1,36,Direct,Direct,Transient,0
1,73,Online TA,TA/TO,Transient,0
1,33,Online TA,TA/TO,Transient,0
0,32,Complementary,Direct,Transient,0
0,8,Online TA,TA/TO,Transient,0
0,100,Online TA,TA/TO,Transient-Party,1
0,1,Online TA,TA/TO,Transient,0
0,100,Online TA,TA/TO,Transient-Party,0
0,100,Online TA,TA/TO,Transient-Party,0
0,9,Online TA,TA/TO,Transient,0
1,5,Online TA,TA/TO,Transient,0
0,0,Online TA,TA/TO,Transient,0
0,9,Online TA,TA/TO,Transient,0
0,2,Online TA,TA/TO,Transient,0
0,2,Online TA,TA/TO,Transient,0
0,9,Online TA,TA/TO,Transient,1
1,5,Online TA,TA/TO,Transient,0
0,2,Direct,Direct,Transient,0
0,44,Online TA,TA/TO,Transient,2
0,80,Online TA,TA/TO,Transient,1
0,97,Online TA,TA/TO,Transient,0
0,109,Offline TA/TO,TA/TO,Transient,1
0,30,Online TA,TA/TO,Transient,0
0,64,Online TA,TA/TO,Transient,0
