IsCanceled,ArrivalDateYear,ArrivalDateMonth,ArrivalDateDayOfMonth,Order
0,2015,07,01,1
0,2015,07,01,2
0,2015,07,01,3
0,2015,07,01,4
0,2015,07,01,5
0,2015,07,01,6
0,2015,07,01,7
0,2015,07,01,8
1,2015,07,01,9
1,2015,07,01,10
1,2015,07,01,11
0,2015,07,01,12
0,2015,07,01,13
0,2015,07,01,14
0,2015,07,01,15
0,2015,07,01,16
0,2015,07,01,17
0,2015,07,01,18
0,2015,07,01,19
0,2015,07,01,20
0,2015,07,01,21
0,2015,07,01,22
0,2015,07,01,23
0,2015,07,01,24
0,2015,07,01,25
0,2015,07,01,26
0,2015,07,01,27
1,2015,07,01,28
0,2015,07,01,29
0,2015,07,01,30
0,2015,07,01,31
0,2015,07,01,32
1,2015,07,01,33
0,2015,07,01,34
0,2015,07,01,35
0,2015,07,01,36
0,2015,07,01,37
0,2015,07,01,38
0,2015,07,01,39
0,2015,07,01,40
0,2015,07,01,41
0,2015,07,01,42
0,2015,07,01,43
0,2015,07,02,44
1,2015,07,02,45
1,2015,07,02,46
0,2015,07,02,47
0,2015,07,02,48
1,2015,07,02,49
0,2015,07,02,50
1,2015,07,02,51
0,2015,07,02,52
0,2015,07,02,53
0,2015,07,02,54
0,2015,07,02,55
1,2015,07,02,56
0,2015,07,02,57
0,2015,07,02,58
0,2015,07,02,59
0,2015,07,02,60
0,2015,07,02,61
0,2015,07,02,62
0,2015,07,02,63
0,2015,07,02,64
0,2015,07,02,65
0,2015,07,02,66
0,2015,07,02,67
0,2015,07,02,68
0,2015,07,02,69
0,2015,07,02,70
0,2015,07,02,71
0,2015,07,02,72
0,2015,07,02,73
0,2015,07,02,74
1,2015,07,02,75
1,2015,07,02,76
1,2015,07,02,77
1,2015,07,02,78
0,2015,07,02,79
0,2015,07,02,80
0,2015,07,02,81
0,2015,07,02,82
0,2015,07,02,83
0,2015,07,02,84
0,2015,07,02,85
0,2015,07,02,86
0,2015,07,02,87
0,2015,07,03,88
0,2015,07,03,89
0,2015,07,03,90
1,2015,07,03,91
1,2015,07,03,92
1,2015,07,03,93
1,2015,07,03,94
0,2015,07,03,95
0,2015,07,03,96
1,2015,07,03,97
0,2015,07,03,98
1,2015,07,03,99
0,2015,07,03,100
0,2015,07,03,101
0,2015,07,03,102
0,2015,07,03,103
1,2015,07,03,104
0,2015,07,03,105
1,2015,07,03,106
0,2015,07,03,107
0,2015,07,03,108
0,2015,07,03,109
1,2015,07,03,110
0,2015,07,03,111
0,2015,07,03,112
0,2015,07,03,113
0,2015,07,03,114
0,2015,07,03,115
0,2015,07,03,116
1,2015,07,03,117
1,2015,07,03,118
1,2015,07,03,119
0,2015,07,03,120
0,2015,07,03,121
0,2015,07,03,122
0,2015,07,03,123
1,2015,07,03,124
0,2015,07,03,125
0,2015,07,03,126
0,2015,07,03,127
0,2015,07,04,128
0,2015,07,04,129
0,2015,07,04,130
0,2015,07,04,131
0,2015,07,04,132
1,2015,07,04,133
1,2015,07,04,134
1,2015,07,04,135
0,2015,07,04,136
0,2015,07,04,137
0,2015,07,04,138
0,2015,07,04,139
0,2015,07,04,140
0,2015,07,04,141
1,2015,07,04,142
0,2015,07,04,143
0,2015,07,04,144
0,2015,07,04,145
0,2015,07,04,146
0,2015,07,04,147
0,2015,07,04,148
1,2015,07,04,149
1,2015,07,04,150
1,2015,07,04,151
1,2015,07,04,152
0,2015,07,04,153
0,2015,07,04,154
0,2015,07,04,155
0,2015,07,04,156
0,2015,07,04,157
0,2015,07,04,158
0,2015,07,04,159
1,2015,07,04,160
1,2015,07,04,161
1,2015,07,04,162
1,2015,07,04,163
1,2015,07,04,164
1,2015,07,04,165
0,2015,07,04,166
0,2015,07,04,167
0,2015,07,04,168
0,2015,07,04,169
0,2015,07,04,170
0,2015,07,04,171
0,2015,07,04,172
0,2015,07,04,173
0,2015,07,04,174
0,2015,07,04,175
0,2015,07,04,176
0,2015,07,04,177
0,2015,07,05,178
1,2015,07,05,179
0,2015,07,05,180
0,2015,07,05,181
0,2015,07,05,182
0,2015,07,05,183
0,2015,07,05,184
1,2015,07,05,185
0,2015,07,05,186
0,2015,07,05,187
0,2015,07,05,188
0,2015,07,05,189
0,2015,07,05,190
0,2015,07,05,191
0,2015,07,05,192
0,2015,07,05,193
0,2015,07,05,194
1,2015,07,05,195
1,2015,07,05,196
