FullDate	IsCanceled
20150701	5.0
20150702	9.0
20150703	13.0
20150704	14.0
20150705	8.0
20150706	5.0
20150707	8.0
20150708	8.0
20150709	6.0
20150710	2.0
20150711	11.0
20150712	8.0
20150713	13.0
20150714	5.0
20150715	30.0
20150716	12.0
20150717	9.0
20150718	10.0
20150719	11.0
20150720	15.0
20150721	5.0
20150722	7.0
20150723	7.0
20150724	13.0
20150725	16.0
20150726	11.0
20150727	15.0
20150728	4.0
20150729	13.0
20150730	12.0
20150731	15.0
20150801	31.0
20150802	7.0
20150803	11.0
20150804	9.0
20150805	6.0
20150806	4.0
20150807	11.0
20150808	20.0
20150809	12.0
20150810	13.0
20150811	22.0
20150812	11.0
20150813	9.0
20150814	9.0
20150815	20.0
20150816	19.0
20150817	12.0
20150818	7.0
20150819	7.0
20150820	4.0
20150821	6.0
20150822	14.0
20150823	15.0
20150824	14.0
20150825	12.0
20150826	7.0
20150827	16.0
20150828	16.0
20150829	8.0
20150830	7.0
20150831	7.0
20150901	16.0
20150902	50.0
20150903	25.0
20150904	17.0
20150905	26.0
20150906	14.0
20150907	11.0
20150908	8.0
20150909	8.0
20150910	12.0
20150911	2.0
20150912	21.0
20150913	10.0
20150914	6.0
20150915	36.0
20150916	8.0
20150917	97.0
20150918	6.0
20150919	23.0
20150920	6.0
20150921	11.0
20150922	5.0
20150923	7.0
20150924	19.0
20150925	33.0
20150926	42.0
20150927	5.0
20150928	11.0
20150929	7.0
20150930	9.0
20151001	4.0
20151002	4.0
20151003	51.0
20151004	43.0
20151005	24.0
20151006	12.0
20151007	5.0
20151008	30.0
20151009	58.0
20151010	26.0
20151011	6.0
20151012	5.0
20151013	1.0
20151014	1.0
20151015	1.0
20151016	1.0
20151017	1.0
20151018	7.0
20151019	4.0
20151020	4.0
20151021	16.0
20151022	5.0
20151023	7.0
20151024	51.0
20151025	1.0
20151026	8.0
20151027	1.0
20151028	0.0
20151029	2.0
20151030	0.0
20151031	32.0
20151101	7.0
20151102	7.0
20151103	3.0
20151104	3.0
20151105	0.0
20151106	7.0
20151107	18.0
20151108	5.0
20151109	4.0
20151110	5.0
20151111	19.0
20151112	16.0
20151113	2.0
20151114	3.0
20151115	3.0
20151116	10.0
20151117	1.0
20151118	4.0
20151119	4.0
20151120	37.0
20151121	4.0
20151122	0.0
20151123	5.0
20151124	0.0
20151125	0.0
20151126	1.0
20151127	7.0
20151128	5.0
20151129	1.0
20151130	4.0
20151201	1.0
20151202	1.0
20151203	5.0
20151204	9.0
20151205	106.0
20151206	15.0
20151207	4.0
20151208	2.0
20151209	0.0
20151210	0.0
20151211	2.0
20151212	1.0
20151213	1.0
20151214	1.0
20151215	1.0
20151216	0.0
20151217	4.0
20151218	1.0
20151219	29.0
20151220	9.0
20151221	8.0
20151222	15.0
20151223	7.0
20151224	6.0
20151225	22.0
20151226	12.0
20151227	6.0
20151228	10.0
20151229	2.0
20151230	12.0
20151231	13.0
20160101	5.0
20160102	30.0
20160103	2.0
20160104	11.0
20160105	6.0
20160106	2.0
20160107	4.0
20160108	8.0
20160109	7.0
20160110	2.0
20160111	0.0
20160112	5.0
20160113	3.0
20160114	0.0
20160115	2.0
20160116	2.0
20160117	2.0
20160118	2.0
20160119	1.0
20160120	0.0
20160121	3.0
20160122	4.0
20160123	2.0
20160124	0.0
20160125	2.0
20160126	1.0
20160127	2.0
20160128	5.0
20160129	3.0
20160130	2.0
20160131	1.0
20160201	7.0
20160202	2.0
20160203	6.0
20160204	6.0
20160205	5.0
20160206	30.0
20160207	30.0
20160208	9.0
20160209	10.0
20160210	2.0
20160211	19.0
20160212	99.0
20160213	7.0
20160214	9.0
20160215	6.0
20160216	0.0
20160217	3.0
20160218	2.0
20160219	7.0
20160220	6.0
20160221	4.0
20160222	4.0
20160223	2.0
20160224	3.0
20160225	4.0
20160226	96.0
20160227	20.0
20160228	6.0
20160229	3.0
20160301	16.0
20160302	22.0
20160303	2.0
20160304	24.0
20160305	15.0
20160306	0.0
20160307	11.0
20160308	1.0
20160309	9.0
20160310	4.0
20160311	14.0
20160312	9.0
20160313	4.0
20160314	8.0
20160315	3.0
20160316	3.0
20160317	7.0
20160318	10.0
20160319	30.0
20160320	12.0
20160321	13.0
20160322	8.0
20160323	5.0
20160324	67.0
20160325	8.0
20160326	5.0
20160327	13.0
20160328	22.0
20160329	5.0
20160330	6.0
20160331	13.0
20160401	2.0
20160402	4.0
20160403	4.0
20160404	19.0
20160405	3.0
20160406	3.0
20160407	22.0
20160408	6.0
20160409	23.0
20160410	8.0
20160411	33.0
20160412	29.0
20160413	2.0
20160414	3.0
20160415	7.0
20160416	16.0
20160417	5.0
20160418	21.0
20160419	32.0
20160420	5.0
20160421	8.0
20160422	25.0
20160423	20.0
20160424	31.0
20160425	34.0
20160426	20.0
20160427	13.0
20160428	30.0
20160429	65.0
20160430	29.0
20160501	8.0
20160502	29.0
20160503	6.0
20160504	3.0
20160505	8.0
20160506	15.0
20160507	10.0
20160508	15.0
20160509	9.0
20160510	16.0
20160511	4.0
20160512	63.0
20160513	12.0
20160514	24.0
20160515	34.0
20160516	25.0
20160517	16.0
20160518	29.0
20160519	12.0
20160520	9.0
20160521	16.0
20160522	5.0
20160523	9.0
20160524	10.0
20160525	11.0
20160526	7.0
20160527	24.0
20160528	16.0
20160529	9.0
20160530	12.0
20160531	13.0
20160601	23.0
20160602	7.0
20160603	22.0
20160604	13.0
20160605	14.0
20160606	11.0
20160607	13.0
20160608	8.0
20160609	7.0
20160610	12.0
20160611	12.0
20160612	38.0
20160613	19.0
20160614	10.0
20160615	2.0
20160616	10.0
20160617	14.0
20160618	17.0
20160619	10.0
20160620	16.0
20160621	14.0
20160622	11.0
20160623	4.0
20160624	5.0
20160625	15.0
20160626	11.0
20160627	20.0
20160628	6.0
20160629	5.0
20160630	7.0
20160701	13.0
20160702	18.0
20160703	11.0
20160704	12.0
20160705	3.0
20160706	5.0
20160707	9.0
20160708	19.0
20160709	16.0
20160710	5.0
20160711	15.0
20160712	19.0
20160713	10.0
20160714	14.0
20160715	22.0
20160716	34.0
20160717	19.0
20160718	23.0
20160719	9.0
20160720	12.0
20160721	15.0
20160722	17.0
20160723	25.0
20160724	15.0
20160725	24.0
20160726	9.0
20160727	10.0
20160728	8.0
20160729	11.0
20160730	21.0
20160731	13.0
20160801	28.0
20160802	19.0
20160803	10.0
