IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate
0,23,2017,June,24,17,1,1,2,0,0,BB       ,ESP,Direct,Direct,0,0,0,A               ,C               ,0,No Deposit     ,250,       NULL,0,Transient,145,0,2,Check-Out,2017-06-19
1,94,2015,September,37,10,2,5,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,120.43,0,0,Canceled,2015-06-11
0,167,2017,June,24,14,2,5,3,0,0,BB       ,IRL,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,167,0,0,Check-Out,2017-06-21
0,175,2016,August,35,22,1,4,2,1,0,HB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient,204,1,1,Check-Out,2016-08-27
0,13,2016,January,4,21,0,3,1,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,54,1,0,Check-Out,2016-01-24
0,172,2016,September,40,30,2,3,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,86,0,1,Check-Out,2016-10-05
1,8,2016,November,49,27,2,3,2,0,0,BB       ,ESP,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,57.55,0,0,Canceled,2016-11-21
1,211,2016,September,37,7,0,3,1,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,D               ,D               ,0,Non Refund     ,1,       NULL,0,Transient,89,0,0,Canceled,2016-02-09
1,24,2017,April,16,16,1,0,2,0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,85,0,0,Canceled,2017-03-23
0,104,2017,July,28,12,0,4,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,40,       NULL,0,Contract,121.5,0,0,Check-Out,2017-07-16
1,6,2016,October,42,11,0,2,2,0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,95,0,2,No-Show,2016-10-11
0,0,2016,April,15,5,0,1,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,50,0,0,Check-Out,2016-04-06
0,70,2015,August,31,1,2,5,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,E               ,E               ,1,No Deposit     ,250,       NULL,0,Transient,187.14,0,0,Check-Out,2015-08-08
0,24,2016,April,17,17,2,1,2,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,81,1,1,Check-Out,2016-04-20
1,183,2016,April,16,16,1,1,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,298,       NULL,0,Transient-Party,85,0,0,Canceled,2016-03-16
1,364,2016,October,42,12,0,4,2,0,0,BB       ,PRT,Groups,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,223,0,Transient-Party,46,0,0,Canceled,2016-09-29
0,6,2015,December,50,9,0,3,2,0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,48,0,0,Check-Out,2015-12-12
0,2,2015,November,47,18,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,337,0,Transient,38,0,0,Check-Out,2015-11-19
0,42,2017,March,13,28,2,5,2,0,0,BB       ,FRA,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,250,       NULL,0,Transient,59.29,0,2,Check-Out,2017-04-04
0,311,2016,May,22,26,2,5,2,0,0,HB       ,GBR,Offline TA/TO,TA/TO,0,0,0,A               ,C               ,1,No Deposit     ,40,       NULL,0,Contract,43.78,0,0,Check-Out,2016-06-02
